Alarms,TempMean,Humidity,Pressure,TempMin,TempMax
22,3,5.116666,95.250000,988.625000,3.7000,6.5000
22,9,3.741666,96.083333,999.025000,2.2000,6.3000
22,6,1.500000,98.500000,979.170833,-0.1000,4.1000
22,8,2.816666,95.750000,986.545833,1.9000,4.2000
22,7,1.095833,95.666666,991.983333,-1.5000,3.7000
22,6,-0.516666,93.291666,1010.616666,-2.4000,1.3000
22,3,-1.629166,85.541666,1031.345833,-5.1000,2.3000
22,1,-0.875000,91.750000,1034.454166,-2.5000,2.3000
22,3,1.154166,86.166666,1020.725000,-2.0000,3.4000
22,9,1.879166,93.791666,1012.112500,1.4000,2.7000
22,4,2.245833,100.000000,1020.920833,1.7000,2.8000
22,3,1.270833,88.000000,1031.737500,0.9000,1.9000
22,1,0.758333,89.666666,1031.825000,-0.6000,1.4000
22,1,-0.691666,78.541666,1026.054166,-1.6000,0.1000
22,4,-0.129166,90.958333,999.795833,-1.8000,2.0000
22,3,0.775000,97.916666,980.579166,-0.8000,2.6000
22,8,0.275000,97.750000,987.966666,-1.4000,2.8000
22,4,-0.287500,99.916666,991.191666,-1.9000,0.6000
22,2,-0.545833,100.000000,1000.116666,-1.7000,0.4000
22,2,0.145833,100.000000,1000.900000,-0.7000,0.9000
22,3,-0.095833,99.458333,1012.200000,-0.9000,0.7000
22,5,-0.187500,96.875000,1009.491666,-1.0000,0.6000
22,4,2.179166,97.875000,1011.300000,-0.9000,7.0000
22,8,6.858333,94.083333,1000.041666,5.1000,9.4000
22,5,5.716666,90.458333,1004.516666,4.5000,6.3000
22,3,3.683333,98.333333,1016.079166,1.5000,5.0000
22,3,2.254166,96.791666,1019.370833,-1.0000,6.5000
22,3,6.100000,88.958333,1012.987500,5.4000,7.1000
22,6,5.895833,90.041666,1008.895833,3.6000,8.0000
22,7,4.429166,87.833333,1016.829166,2.7000,6.1000
22,5,3.366666,92.250000,994.287500,1.2000,5.5000
22,1,2.595833,93.791666,986.841666,0.7000,4.3000
22,2,-0.437500,90.958333,1001.516666,-2.9000,2.4000
22,3,-2.816666,83.958333,1009.391666,-3.8000,-1.5000
22,5,-2.191666,82.958333,1026.954166,-2.9000,-1.3000
22,9,-2.937500,67.000000,1032.187500,-4.2000,-1.6000
22,6,-3.087500,71.875000,1018.845833,-4.2000,-0.7000
22,14,0.083333,87.708333,1015.866666,-2.9000,3.7000
22,10,0.533333,87.458333,1016.612500,-2.2000,3.0000
22,3,-1.337500,84.916666,1013.033333,-2.9000,1.5000
22,5,-1.104166,92.291666,1010.620833,-3.1000,0.4000
22,2,1.141666,96.291666,987.541666,-0.2000,3.3000
22,4,2.070833,85.333333,997.550000,0.1000,4.6000
22,4,0.862500,93.500000,1010.045833,-1.2000,3.9000
22,8,0.279166,78.250000,1016.033333,-2.3000,3.1000
22,6,0.483333,81.916666,1009.266666,-0.8000,2.1000
22,6,2.625000,94.875000,1015.887500,0.1000,5.7000
22,4,2.079166,91.000000,1023.983333,-0.9000,6.0000
22,4,1.204166,93.875000,1023.516666,-0.9000,3.3000
22,10,1.558333,99.166666,1019.666666,0.4000,3.3000
22,4,0.812500,91.625000,1023.962500,-1.4000,3.6000
22,4,0.837500,92.125000,1027.279166,-1.6000,3.0000
22,4,0.458333,92.666666,1028.212500,-3.0000,2.0000
22,7,-1.012500,84.916666,1029.458333,-4.3000,3.3000
22,1,-1.175000,73.666666,1035.291666,-3.4000,0.7000
22,1,-3.654166,71.250000,1037.945833,-6.0000,-1.7000
22,5,-4.933333,72.083333,1036.729166,-6.8000,-1.8000
22,12,-6.579166,79.000000,1031.883333,-9.7000,-4.8000
22,6,-8.404545,79.954545,1034.604545,-9.9000,-6.6000
22,5,-7.095652,84.000000,1025.795652,-9.2000,-4.4000
22,2,-4.679166,86.375000,1013.212500,-7.4000,-2.9000
22,3,-2.550000,79.833333,1008.520833,-4.0000,-0.9000
22,2,-2.375000,70.875000,1003.883333,-3.4000,-0.5000
22,4,-0.433333,91.458333,994.029166,-2.7000,1.9000
22,3,1.191666,97.416666,995.595833,-0.1000,2.4000
22,13,0.220833,92.750000,996.491666,-1.0000,1.9000
22,6,0.195833,98.916666,996.541666,-0.7000,1.2000
22,1,-0.666666,94.791666,1002.083333,-2.1000,0.8000
22,2,-0.825000,95.791666,1004.583333,-3.2000,1.1000
22,1,1.508333,99.500000,996.620833,-0.2000,4.8000
22,6,2.787500,100.000000,992.141666,0.8000,6.0000
22,1,1.025000,94.500000,999.525000,0.0000,2.4000
22,9,1.529166,80.708333,1012.400000,0.1000,4.6000
22,3,0.095833,79.583333,1012.970833,-1.0000,1.1000
22,5,-2.241666,61.500000,1019.425000,-4.2000,-0.8000
22,2,-3.258333,58.041666,1025.891666,-5.2000,-0.9000
22,4,-2.033333,64.666666,1025.537500,-5.3000,2.3000
22,11,0.120833,81.083333,1016.404166,-6.6000,6.0000
22,5,1.579166,67.791666,1021.820833,-1.3000,4.6000
22,7,2.508333,89.250000,1019.733333,-1.6000,5.5000
22,4,3.541666,93.541666,1007.775000,1.1000,5.1000
22,6,2.700000,97.750000,1004.054166,0.8000,4.4000
22,4,4.300000,96.916666,1003.504166,3.2000,6.3000
22,2,2.795833,99.916666,1007.858333,0.2000,4.7000
22,10,3.566666,90.416666,1012.833333,0.1000,8.4000
22,8,0.895833,93.708333,1014.137500,-0.4000,3.6000
22,10,-0.195833,82.500000,1008.150000,-1.2000,0.8000
22,5,0.087500,74.041666,1006.733333,-1.5000,2.7000
22,3,0.983333,71.125000,1009.537500,-3.0000,6.1000
22,5,0.408333,79.416666,1007.075000,-2.1000,3.7000
22,2,1.391666,76.250000,1007.887500,-1.9000,5.4000
22,16,1.950000,74.333333,1006.925000,-2.9000,6.7000
22,4,4.279166,97.291666,998.104166,0.5000,9.3000
22,7,8.433333,92.625000,998.112500,5.9000,10.8000
22,4,5.287500,89.916666,1002.441666,2.3000,8.1000
22,5,5.441666,71.958333,1019.391666,2.6000,8.9000
22,3,8.345833,64.541666,1013.416666,3.7000,13.6000
22,4,10.633333,78.083333,1008.412500,4.0000,19.1000
22,8,6.595833,93.250000,1009.033333,4.9000,9.7000
22,11,6.154166,84.625000,1014.904166,4.3000,8.6000
22,5,6.404166,60.083333,1018.537500,2.2000,11.0000
22,8,7.945833,62.458333,1014.404166,2.7000,13.1000
22,5,11.033333,68.625000,1011.475000,6.5000,16.5000
22,2,10.770833,78.666666,1013.687500,6.3000,15.8000
22,9,8.104166,91.458333,1013.945833,5.9000,9.9000
22,7,9.483333,92.333333,1014.325000,6.3000,13.9000
22,10,9.737500,79.625000,1022.883333,5.9000,13.8000
22,8,12.400000,77.416666,1029.012500,7.9000,16.2000
22,9,16.012500,66.875000,1028.837500,5.9000,25.1000
22,13,14.766666,71.083333,1019.529166,6.4000,22.9000
22,6,8.616666,81.750000,1020.320833,4.1000,14.7000
22,7,9.445833,73.000000,1013.687500,2.7000,17.5000
22,11,9.245833,83.625000,1006.808333,6.8000,12.5000
22,8,7.579166,90.333333,1005.562500,6.1000,9.5000
22,4,7.012500,91.250000,1003.575000,5.4000,10.2000
22,8,7.504166,85.625000,1006.512500,5.1000,10.9000
22,4,8.358333,79.041666,1009.954166,5.9000,12.6000
22,7,6.991666,92.750000,1011.525000,6.1000,8.8000
22,4,8.654166,74.666666,1012.358333,4.5000,12.6000
22,7,8.616666,95.000000,1002.191666,7.0000,9.8000
22,9,7.770833,91.416666,1001.062500,6.1000,9.6000
22,5,9.225000,70.791666,1010.500000,3.7000,13.8000
22,9,7.837500,82.458333,1014.708333,4.1000,10.4000
22,4,8.537500,76.875000,1024.729166,3.7000,13.8000
22,9,11.250000,67.416666,1028.283333,5.1000,16.9000
22,6,14.441666,59.583333,1026.412500,5.9000,21.3000
22,17,17.608333,55.000000,1021.804166,9.7000,24.3000
22,11,17.762500,58.833333,1015.329166,9.5000,24.6000
22,19,18.537500,55.375000,1010.183333,10.3000,25.5000
22,9,13.133333,82.625000,1009.350000,8.7000,19.1000
22,6,10.400000,80.166666,1019.666666,6.8000,14.6000
22,8,13.041666,70.041666,1019.341666,6.6000,19.0000
22,8,17.162500,64.333333,1016.804166,10.7000,23.7000
22,9,18.983333,52.750000,1018.854166,12.5000,25.9000
22,8,19.358333,64.458333,1018.579166,12.3000,25.5000
22,12,13.566666,79.125000,1017.400000,8.0000,17.4000
22,9,11.766666,82.000000,1016.295833,6.3000,15.8000
22,27,13.404166,81.208333,1018.866666,7.6000,18.1000
22,10,14.458333,64.958333,1023.212500,8.9000,20.0000
22,5,15.200000,66.750000,1026.475000,7.7000,22.1000
22,9,15.241666,60.750000,1023.829166,8.7000,21.1000
22,9,16.637500,61.666666,1018.816666,9.6000,23.2000
22,10,16.337500,73.583333,1024.950000,9.9000,21.9000
22,11,18.625000,59.958333,1026.987500,11.0000,25.5000
22,5,18.808333,56.125000,1025.666666,11.5000,24.9000
22,13,19.704166,58.666666,1025.883333,12.8000,25.4000
22,14,18.216666,76.250000,1024.708333,15.1000,22.3000
